;ID;tasks;star_work;in_call;out_call;comment;in_mail;out_mail
173;51;1;0;0;0;0;0;0
174;6;1;0;0;0;0;0;0
175;45;1;0;0;0;0;0;0
176;17;1;0;0;0;0;0;0
177;58;1;0;0;0;0;0;0
178;24;1;0;0;0;0;0;0
179;79;1;0;0;0;0;0;0
180;70;1;0;0;0;0;0;0
181;70;1;0;0;0;0;0;0
182;18;1;0;0;0;0;0;0
183;86;1;0;0;0;0;0;0
184;31;1;0;0;0;0;0;0
185;45;1;0;0;0;0;0;0
186;6;1;0;0;0;0;0;0
187;5;1;0;0;0;0;0;0
188;59;1;0;0;0;0;0;0
189;73;1;0;0;0;0;0;0
190;45;1;0;0;0;0;0;0
191;22;1;0;0;0;0;0;0
192;9;1;0;0;0;0;0;0
193;34;1;0;0;0;0;0;0
194;7;1;0;0;0;0;0;0
195;39;1;0;0;0;0;0;0
196;4;1;0;0;0;0;0;0
197;5;1;0;0;0;0;0;0
198;78;1;0;0;0;0;0;0
199;82;1;0;0;0;0;0;0
200;96;1;0;0;0;0;0;0
201;92;1;0;0;0;0;0;0
202;16;1;0;0;0;0;0;0
203;10;1;0;0;0;0;0;0
204;23;2;0;0;0;0;0;0
205;62;1;0;0;0;0;0;0
206;39;1;0;0;0;0;0;0
207;24;1;0;0;0;0;0;0
208;82;1;0;0;0;0;0;0
209;15;1;0;0;0;0;0;0
210;34;1;0;0;0;0;0;0
211;17;1;0;0;0;0;0;0
212;59;1;0;0;1;0;0;0
213;94;1;0;0;0;0;0;0
214;93;1;0;0;0;0;0;0
215;71;1;0;0;0;0;0;0
216;68;1;0;0;0;0;0;0
217;26;1;0;0;0;0;0;0
218;89;1;0;0;0;0;0;0
219;18;1;0;0;0;0;0;0
220;57;1;0;0;0;0;0;0
221;88;2;0;0;0;0;0;0
222;57;1;0;0;0;0;0;0
223;38;1;0;0;0;0;0;0
224;36;1;0;0;0;0;0;0
225;35;1;0;0;0;0;0;0
226;76;1;0;0;0;0;0;0
227;33;1;0;0;0;0;0;0
228;65;1;0;0;0;0;0;0
229;10;2;0;0;0;0;0;0
230;91;1;0;0;0;0;0;0
231;29;1;0;0;0;0;0;0
232;34;1;0;0;0;0;0;0
233;22;1;0;0;0;0;9;9
234;78;1;0;0;0;0;0;0
235;15;1;0;0;0;0;0;0
236;5;1;0;0;0;0;0;0
237;36;1;0;0;0;0;0;0
238;77;1;0;0;0;0;0;0
239;96;1;0;0;0;0;0;0
240;10;1;0;0;0;0;0;0
241;20;1;0;0;0;0;0;0
242;84;1;0;0;0;0;0;0
243;41;1;0;0;0;0;0;0
244;46;2;0;0;0;0;0;0
245;35;1;0;0;0;0;0;0
246;21;1;0;0;0;0;0;0
247;56;2;0;0;0;0;0;0
248;63;1;0;0;0;0;0;0
249;59;1;0;0;0;0;0;0
250;66;1;0;1;0;0;0;0
251;24;1;0;0;0;0;0;0
252;25;1;0;0;0;0;0;0
253;66;1;0;0;0;0;0;0
254;34;1;0;0;0;0;0;0
255;18;1;0;0;0;0;0;0
256;29;1;0;0;0;0;0;0
257;13;2;0;0;0;0;0;0
258;67;1;0;0;0;0;0;0
259;91;1;0;0;0;0;0;0
260;80;1;0;0;0;0;0;0
261;57;1;0;0;0;0;0;0
262;83;1;0;0;0;0;0;0
263;59;1;0;1;3;0;0;0
264;2;1;0;0;0;0;0;0
265;90;1;0;0;0;0;0;0
266;85;2;0;0;0;0;0;0
267;87;1;0;0;0;0;0;0
268;54;1;0;0;0;0;0;0
269;96;1;0;0;1;0;0;0
270;11;2;0;0;0;0;0;0
271;68;1;0;0;0;0;0;0
272;16;2;0;0;0;0;0;0
273;74;1;0;0;0;0;0;0
274;15;1;0;0;0;0;0;0
275;65;1;0;0;0;0;0;0
276;20;1;0;0;0;0;0;0
277;16;1;0;0;0;0;0;0
278;81;1;0;0;0;0;0;0
279;22;1;0;0;0;0;0;0
280;34;1;0;0;0;0;0;0
281;48;1;0;0;0;0;0;0
